Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Ž. Lipuš?ek,RFS,RFS,LCB,26,600000,2024-06-30,23,2125,3,2.92,0,0.38,14.48,64.91,Slovenia,Slovenia,left,199,88,no,7.45,4.53,75.7,5.84,65.22,0,0,0.68,4.02,6.06,0.76,5,0.21,0,0,0.55,0.13,3,0.13,0.12,2,0.08,24,1.02,29.17,12.5,0,0.38,0,0.34,0,0.04,0,0,0.38,66.67,2.12,38,1.19,0.93,38.08,0.64,0.47,52.31,88.74,23,81.58,1.61,94.74,23.97,96.47,44.05,94.42,7.88,61.29,23.44,40.51,0.02,0.13,0.04,0,0,0,0.04,8.13,75.52,0.93,36.36,0.47,63.64,0.47,0,11.6,77.74,0,,0,,0,0,0,0,,,0.76,,,0.04,0.04,0,0,0,0
A. Jatta,RFS,RFS,RCB,23,500000,2023-11-30,2,209,0,0.28,0,0,13.78,46.88,Gambia,Gambia,,188,77,no,7.75,6.89,43.75,3.44,75,0.86,1.33,0,3.88,6,0.43,0,0,0,0,1.29,0,0,0,0.12,0,0,1,0.43,100,0,0,0,0,0,0,0,0,0,0.43,100,2.58,16.67,0.43,0,26.27,0.43,0,40.91,84.21,20.67,77.08,2.58,100,12.06,96.43,31,91.67,9.9,60.87,22.64,39.84,0,0,0,0,0.43,100,0,8.18,73.68,0,0,0.86,100,0,0,9.9,82.61,0,,0,,0,0,0,0,,,0.86,,,0.43,0,0,0,0,0
D. Lemaji?,RFS,RFS,CF,29,500000,,4,134,3,0.76,0,0,20.82,41.94,Serbia,"Serbia, Montenegro",right,198,92,no,2.01,3.36,40,6.04,44.44,0,0,0,0.67,1.2,3.36,1,0.67,0,0,4.03,2.01,3,2.01,0.51,3,2.01,5,3.36,80,60,0,0.67,100,0,0,0.67,100,0,1.34,50,6.72,40,4.7,0,10.75,1.34,0.67,14.78,77.27,3.36,80,4.03,100,4.03,66.67,14.1,76.19,0.67,100,14.64,11.3,0,0,0.67,0,0,0,0,1.34,50,1.34,50,0,0,0.67,0,2.01,100,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
J. Ikaunieks,RFS,RFS,"RAMF, AMF, CF",28,500000,2024-12-31,14,1103,10,7.39,4,4.85,25.7,42.22,Latvia,Latvia,left,184,74,no,7.02,6.61,54.32,4.16,62.75,0.65,0.99,0,2.77,4.21,1.39,3,0.24,0,0,5.14,0.82,8,0.65,0.6,3,0.24,44,3.59,47.73,22.727,0.33,2.53,38.71,0.82,40,1.71,38.1,0.65,4.32,49.06,11.02,32.59,6.69,2.12,29.29,2.69,1.14,39.98,84.08,7.59,69.89,11.18,97.81,13.22,85.8,36.07,87.33,1.47,83.33,16.03,25.34,0.4,2.2,0.08,0.08,1.47,22.22,1.31,2.45,76.67,4.08,48,1.47,22.22,2.53,0.98,4.32,83.02,0,,0,,0,0,0,0,,,0.08,,,0.41,0.24,66.67,1.47,2,100
H. Prenga,RFS,RFS,"RCB, LCB",29,500000,2024-06-30,7,513,0,0.8,0,0,17.54,69,Croatia,"Croatia, Albania",right,190,84,no,7.19,5.79,72.73,6.67,68.42,0,0,0,2.98,4.77,1.4,0,0,0,0,1.23,0,0,0,0.14,0,0,5,0.88,20,0,0,0,0,0,0,0,0,0,1.05,100,3.16,83.33,1.05,0.7,39.65,0.53,1.58,58.77,90.45,25.61,82.19,2.81,93.75,25.09,97.2,52.28,93.62,6.49,64.86,23.53,33.4,0,0,0,0,0,0,0,5.96,55.88,0.53,0,0.18,100,0,0,11.23,76.56,0,,0,,0,0,0,0,,,1.75,,,0,0,0,0,0,0
D. Gueye,Valmiera FC,Valmiera FC,"RWF, CF, LWF",26,400000,,5,453,4,3.17,0,0.29,20.86,31.43,Senegal,Senegal,,0,0,no,3.77,3.18,31.25,4.57,34.78,0.2,0.34,0.2,2.58,4.38,2.38,2,0.4,0,0,3.18,0.79,3,0.6,0.63,1,0.2,15,2.98,60,26.667,0,1.99,10,0.2,0,1.59,12.5,0.79,3.97,30,10.13,33.33,6.75,2.58,13.31,2.38,0.99,19.87,69,6.95,71.43,3.38,88.24,5.96,60,17.28,75.86,0.99,40,17.61,34.8,0.06,0.6,0,0,0.2,0,0.99,2.38,75,1.79,44.44,0.2,0,1.59,0.2,2.38,91.67,0,,0,,0,0,0,0,,,0,,,0,0,0,0,1,100
N. Muzinga,Riga FC,Riga FC,"LB, LWB",28,400000,2025-12-31,6,498,1,0.66,3,2.15,25.48,58.16,Congo DR,Congo DR,left,182,76,no,12.65,10.12,66.07,4.7,69.23,0,0,0,5.96,10.53,1.63,1,0.18,0,0,6.69,0.18,1,0.18,0.12,1,0.18,14,2.53,28.57,7.143,0.54,5.6,35.48,5.42,36.67,0.18,0,1.45,5.06,53.57,8.13,46.67,1.45,3.61,43.55,2.71,0.18,60.9,84.27,24.4,88.15,6.14,91.18,22.23,80.49,51.51,90.53,4.16,65.22,20.03,40.6,0.39,2.35,0,0.18,1.45,87.5,0.9,11.93,87.88,8.67,62.5,1.45,75,3.43,1.81,17.35,93.75,0,,0,,0,0,0,0,,,1.27,,,0,0,0,1.45,0,0
D. Bergqvist,Degerfors,FK Auda,"CB, LCB",30,400000,,15,1307,2,1.46,0,0.02,15.42,62.5,Sweden,Sweden,right,185,86,no,8.06,4.68,63.24,5.1,56.76,0.34,0.52,1.17,4.75,7.11,0.76,3,0.21,1,0.07,0.69,0.14,2,0.14,0.1,2,0.14,9,0.62,44.44,22.222,0,0.07,100,0.07,100,0,0,0,0.48,71.43,2.82,60.98,0.69,0.83,48.55,0.21,1.65,66.31,90.03,23.14,80.65,2.48,94.44,34.29,96.39,57.91,94.53,8.33,58.68,21.21,42.17,0,0.07,0,0,0.07,0,0,5.99,65.52,0.34,20,0.41,16.67,0.07,0.07,8.88,61.24,0,,0,,0,0,0,0,,,1.79,,,0,0,0,0,0,0
F. Ondoa,,FK Auda,GK,27,400000,,12,1143,0,0,0,0,1.18,86.67,Cameroon,Cameroon,right,185,80,no,2.76,0,0,0.55,85.71,0,0,0,2.76,3.87,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,75,0.47,83.33,0,0,14.25,0.16,0.16,22.99,91.1,9.76,81.45,0,0,11.81,98,18.43,98.72,4.57,60.34,25.53,43.46,0,0,0,0,0,0,0,1.1,64.29,0,0,0,0,0,0,3.62,60.87,11,0.87,38,2.99,7,71.05,10.61,0.84,-0.39,-0.031,0,1.97,0.55,,,,0,0,0
K. Nguena,Riga FC,Riga FC,"LCMF, RCMF",23,400000,2024-06-30,23,1444,5,6.83,4,2.2,16.77,44.61,France,"France, Cameroon",right,183,78,no,5.55,4.67,54.67,4.24,44.12,0.06,0.11,0.12,2.93,4.98,1.18,1,0.06,0,0,2.87,0.31,5,0.31,0.43,2,0.12,64,3.99,31.25,7.813,0.25,0.5,50,0.25,75,0.25,25,0.06,2.49,47.5,5.36,37.21,4.18,1.62,26.11,0.44,0.37,38.14,84.8,13.03,77.99,6.23,94,13.03,90.91,35.09,86.32,2.56,70.73,16.9,27.49,0.14,1.06,0,0.19,0.56,33.33,0.56,6.11,80.61,2.43,76.92,0.62,40,1.99,0.12,6.61,81.13,0,,0,,0,0,0,0,,,0,,,0,0,0,0.06,0,0
