Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Lucas Copado,Bayern München II,Bayern München II,"CF, AMF",19,1000000,2024-06-30,21,1405,4,6.51,4,1.98,19.09,39.6,Germany,"Germany, Spain",right,0,0,no,3.01,3.01,55.32,1.86,27.59,0.13,0.2,0.13,1.22,1.94,0.83,1,0.06,0,0,4.48,0.26,3,0.19,0.42,0,0,48,3.07,39.58,8.333,0.26,1.86,31.03,0.32,40,1.41,22.73,0.45,4.36,55.88,11.4,41.01,4.74,1.35,13.77,1.99,2.18,20.37,77.04,4.04,71.43,5.77,87.78,5.57,71.26,18.06,81.91,0.58,66.67,15.43,9.65,0.13,1.28,0,0.06,0.51,50,0.45,1.41,81.82,1.86,55.17,0.45,57.14,1.02,0.32,1.92,73.33,0,,0,,0,0,0,0,,,0,,,0.06,0.06,0,0.19,2,50
N. Tresoldi,Hannover 96,Hannover 96 II,CF,18,1000000,2026-06-30,7,565,3,2.09,0,0.88,28.35,36.52,Italy,Italy,right,183,77,no,4.3,3.82,62.5,9.72,34.43,0.16,0.25,0,1.75,2.7,1.27,1,0.16,0,0,2.87,0.48,3,0.48,0.33,0,0,14,2.23,35.71,21.429,0,1.91,33.33,0.64,25,1.27,37.5,0.8,2.39,53.33,10.51,33.33,5.1,0.48,13.7,2.23,0.64,18.96,69.75,4.78,53.33,3.5,90.91,5.42,70.59,15.45,76.29,1.59,50,19.09,26.46,0.14,1.43,0,0,0.32,50,0.48,2.39,60,1.59,40,0.16,100,0.64,0.64,1.91,91.67,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
F. Chiarodia,Werder Bremen II,Werder Bremen II,LCB,18,1000000,2024-06-30,9,787,0,0,0,0.16,10.98,64.58,Germany,"Germany, Italy",left,186,80,no,9.15,6.29,69.09,1.49,61.54,0.11,0.14,0.57,4.69,5.8,0.57,2,0.23,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0.11,0,0,0,0,0.34,66.67,1.37,41.67,0,0.8,28.48,0.23,0.23,44.03,87.79,18.3,75,2.63,100,20.13,97.73,37.4,93.27,6.52,57.89,22,37.29,0.02,0.11,0,0,0,0,0,5.26,69.57,0.46,50,0.34,33.33,0,0,8.69,72.37,0,,0,,0,0,0,0,,,2.29,,,0,0,0,0.11,0,0
M. Damar,Hoffenheim,Hoffenheim II,"AMF, RDMF",19,1000000,2026-06-30,21,1657,7,3.5,6,4.35,19.99,44.83,Germany,"Germany, Turkey",right,185,73,no,4.71,4.94,58.14,1.03,22.22,0.06,0.09,0.06,1.78,2.73,0.92,5,0.27,0,0,4.14,0.38,6,0.34,0.2,0,0,49,2.81,36.73,14.286,0.34,1.09,31.58,0.34,50,0.69,25,0.23,5.51,45.83,11.54,38.31,1.78,2.47,31.53,0.57,1.44,42.79,86.58,11.77,76.59,8.62,98,14.59,87.8,39.74,89.16,2.01,62.86,16.01,22.88,0.25,2.18,0,0.11,0.69,33.33,0.52,6.49,78.76,2.53,68.18,0.75,38.46,1.9,0.34,5.74,93,0,,0,,0,0,0,0,,,0.34,,,1.49,1.03,16.67,4.71,1,100
K. Çalhano?lu,Sandhausen,Schalke 04 II,"LWB, LB",20,800000,2024-06-30,11,933,1,0.46,6,1.87,23.54,48.77,Germany,"Germany, Turkey",left,183,79,yes,10.71,8.87,65.22,1.83,31.58,0.29,0.47,0.1,4.63,7.58,1.16,2,0.19,0,0,3.86,0.1,1,0.1,0.04,0,0,13,1.25,23.08,7.692,0.58,4.82,24,4.34,24.44,0.39,25,0.68,4.44,50,10.42,38.89,0.87,3.38,30.96,2.7,1.35,42.83,73.87,13.79,64.34,11.19,92.24,12.93,70.15,33.47,85.01,5.11,41.51,21.32,39.55,0.18,1.54,0.1,0,0.48,40,0.68,6.75,61.43,5.5,36.84,0.68,28.57,1.06,1.16,9.26,72.92,0,,0,,0,0,0,0,,,0.58,,,0.77,0.1,100,1.74,0,0
J. Urbig,Jahn Regensburg,Köln II,GK,19,800000,2024-06-30,12,1115,0,0,0,0,0.61,100,Germany,Germany,both,189,74,yes,2.11,0,0,0.44,100,0,0,0.09,2.11,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,100,0,0,21.69,0.18,0.18,33.1,83.82,19.14,73.85,0.18,100,11.5,99.24,20.72,98.31,12.29,60,32.56,53.97,0,0,0,0,0,0,0,5.97,41.18,1.05,8.33,0.79,11.11,0.09,0,8.25,78.72,23,2.02,49,4.3,1,53.06,19.01,1.67,-3.99,-0.35,0,1.84,0.44,,,,0,0,0
S. Fofana,Nürnberg,Nürnberg II,"RB, RCB, LCB",19,800000,2025-06-30,4,385,0,0.12,0,0.02,21.74,47.31,Germany,"Germany, Togo",right,192,83,yes,7.71,6.55,71.43,3.51,46.67,0.23,0.43,0.23,2.81,5.14,0.47,1,0.23,0,0,1.4,0,0,0,0.03,0,0,1,0.23,0,0,0,0.23,0,0,0,0.23,0,0.23,2.57,54.55,7.71,36.36,0.47,2.57,47.69,0.94,0.94,65.69,84.7,25.01,76.64,9.35,95,21.51,91.3,59.14,88.14,6.31,55.56,18.64,33.03,0,0.23,0,0,0.23,0,0,7.01,60,0.7,66.67,0.7,0,0.47,0,10.52,60,0,,0,,0,0,0,0,,,4.68,,,0,0,0,0,0,0
E. Aydin,Bayern München II,Bayern München II,"DMF, RDMF, LDMF",18,800000,,25,1742,3,1.8,5,6,19.32,53.74,Germany,"Germany, Turkey",left,181,74,no,10.33,7.18,68.35,3.05,54.24,0.46,0.77,0.1,4.96,8.25,1.7,6,0.31,0,0,2.32,0.15,3,0.15,0.09,0,0,28,1.45,50,10.714,0.26,0.62,66.67,0.31,66.67,0.31,66.67,0.1,2.01,53.85,5.58,48.15,0.05,0.52,42.11,0.15,1.5,57.71,86.12,17.1,72.21,7.65,95.27,25.16,91.58,50.17,90.32,6.92,57.46,19.18,34.72,0.31,2.43,0.21,0.1,0.41,25,0.36,10.02,68.04,2.07,42.5,1.08,33.33,0.52,0.36,8.68,80.36,0,,0,,0,0,0,0,,,0.83,,,2.27,0.31,33.33,4.75,1,0
S. Raebiger,Greuther Fürth,Greuther Fürth II,"LCMF, RCMF, DMF",18,750000,2025-06-30,8,663,3,2.29,2,1.74,23.89,48.3,Germany,Germany,right,176,70,no,8.82,7.87,58.62,1.76,46.15,0.68,0.89,0.14,3.53,4.64,1.63,1,0.14,0,0,3.67,0.41,2,0.27,0.31,1,0.14,21,2.85,33.33,14.286,0.27,2.17,31.25,0.54,25,1.63,33.33,0.41,3.39,52,8.01,40.68,2.44,1.9,22.81,0.54,1.09,33.94,72.4,12.49,61.96,5.02,89.19,11.27,72.29,27.29,79.1,4.62,50,19.55,45.24,0.24,1.22,0.14,0,0.54,50,1.09,7.74,54.39,3.39,40,1.09,25,1.22,0.81,8.14,76.67,0,,0,,0,0,0,0,,,0.68,,,0.27,0.27,0,0.27,1,100
L. Ullrich,Borussia M'gladbach,Hertha BSC II,,19,750000,,19,1630,2,0,0,0,,,Germany,Germany,left,180,0,no,,,,,,,0,,,0,,4,0.22,0,0,,0.11,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,0
