Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Fernando,Salzburg,Salzburg,"CF, AMF",24,10000000,2027-06-30,9,595,6,6.49,3,1.54,26.17,40.46,Brazil,Brazil,right,176,72,no,2.87,3.63,41.67,4.69,41.94,0,0,0,1.36,2.41,1.82,0,0,0,0,6.5,0.91,5,0.76,0.98,0,0,32,4.84,53.13,18.75,0.45,1.66,27.27,0.91,16.67,0.76,40,0.61,5.29,62.86,11.5,44.74,7.41,3.33,17.39,2.42,2.12,21.48,78.87,5.14,61.76,6.05,95,5.14,73.53,19.21,84.25,0.61,50,15.88,15.57,0.23,1.06,0,0.15,0.15,100,0.3,1.36,66.67,1.36,55.56,0.45,33.33,1.06,0.3,2.42,81.25,0,,0,,0,0,0,0,,,0,,,0.15,0.15,100,0,1,100
A. Dedi?,Salzburg,Salzburg,RB,21,10000000,2027-06-30,27,2497,1,1.24,4,2.6,16.47,52.52,Austria,"Austria, Bosnia and Herzegovina",right,180,67,no,8.58,6.16,63.74,2.78,50.65,0.11,0.18,0.22,4.54,7.64,0.87,8,0.29,0,0,2.45,0.04,1,0.04,0.04,0,0,11,0.4,36.36,9.091,0.14,2.52,32.86,0.04,100,2.45,32.35,0.29,2.78,49.35,5.19,43.75,1.12,2.63,25.52,2.56,0.72,38.85,73.47,13.8,57.7,5.66,92.99,12.69,79.83,31.25,82.01,5.23,41.38,19.63,38.91,0.09,0.87,0.04,0.04,0.18,60,0.54,6.63,52.72,3.14,35.63,0.94,23.08,0.68,0.83,8.69,67.63,0,,0,,0,0,0,0,,,0.5,,,0,0,0,0,0,0
N. Capaldo,Salzburg,Salzburg,"RCMF, RAMF",24,8000000,2026-06-30,23,1877,5,2.8,1,1.39,21.43,46.53,Argentina,"Argentina, Italy",right,177,73,no,7.86,7.14,59.06,2.16,35.56,0.48,0.83,0.14,3.16,5.47,1.68,4,0.19,1,0.05,2.49,0.24,5,0.24,0.13,1,0.05,19,0.91,57.89,26.316,0.05,1.63,23.53,0.29,33.33,1.34,21.43,0.24,2.92,49.18,8.25,38.95,1.53,1.2,19.85,0.77,1.63,30.78,73.99,10.5,57.99,4.75,98.99,9.49,75.25,25.41,82.08,3.74,41.03,18.63,34.86,0.07,0.86,0,0.05,0.43,33.33,0.29,5.56,62.07,3.02,36.51,0.96,25,1.05,0.48,5.8,74.38,0,,0,,0,0,0,0,,,0.19,,,0,0,0,0.43,0,0
J. Adamu,Freiburg,Salzburg,"CF, AMF",22,8000000,2025-06-30,28,1412,10,5.9,3,0.88,29.38,34.06,Nigeria,"Nigeria, Austria",right,182,77,no,5.1,4.14,55.38,6.57,36.89,0.45,0.78,0.13,2.36,4.13,1.98,2,0.13,1,0.06,3.44,0.64,10,0.64,0.38,2,0.13,31,1.98,67.74,32.258,0.19,1.66,26.92,0.51,25,1.15,27.78,0.38,3.06,45.83,11.86,26.34,4.33,0.76,11.47,1.72,1.78,16.89,65.66,4.02,55.56,3.19,86,4.14,70.77,14.85,70.39,0.45,57.14,15.44,5.89,0.06,0.57,0,0,0.51,50,0.25,1.08,35.29,1.59,44,0.45,57.14,0.76,0.32,1.53,58.33,0,,0,,0,0,0,0,,,0.06,,,0,0,0,0,0,0
S. Koita,Salzburg,Salzburg,"CF, AMF",23,6000000,2024-06-30,22,1204,6,5.95,3,2.36,16.3,35.32,Mali,Mali,left,173,73,no,4.41,3.59,35.42,3.44,32.61,0.45,0.76,0.15,2.69,4.54,1.79,4,0.3,0,0,3.21,0.45,5,0.37,0.44,0,0,38,2.84,31.58,15.789,0.22,0.82,18.18,0.3,25,0.52,14.29,0.22,3.59,41.67,6.2,38.55,3.06,0.6,18.09,1.64,0.67,22.87,68.63,6.8,58.24,3.29,88.64,6.88,60.87,21.3,70.88,0.82,54.55,14.86,15.68,0.18,1.57,0.07,0,1.42,47.37,0.97,3.06,51.22,2.69,41.67,1.57,47.62,1.42,0.22,3.29,70.45,0,,0,,0,0,0,0,,,0.07,,,0.3,0.07,0,0.82,1,100
K. Nakamura,LASK ,LASK ,"LAMF, LW",22,5000000,2025-06-30,31,2632,14,9.42,4,3.91,23.32,42.08,Japan,Japan,right,180,75,no,6.6,5.88,51.16,1.33,28.21,0.38,0.58,0.03,3.21,4.96,1.33,1,0.03,0,0,5.33,0.48,14,0.48,0.32,1,0.03,86,2.94,38.37,16.279,0.14,1.95,31.58,1.71,28,0.21,66.67,0.27,5.64,57.58,12.58,42.39,4.27,2.91,21.88,1.78,1.09,31.46,73.8,8.75,64.84,7.32,88.79,8.62,75.79,27.53,77.89,2.05,56.67,16.83,31.94,0.13,1.09,0.03,0.07,0.92,37.04,0.51,3.04,61.8,2.53,48.65,0.62,22.22,1.4,0.65,5.54,62.96,0,,0,,0,0,0,0,,,0.17,,,0.21,0.03,0,0.62,0,0
A. Prass,Sturm Graz,Sturm Graz,"LCMF, LAMF",22,5000000,2025-06-30,32,2630,3,3.22,6,4.93,21.94,50.39,Austria,Austria,left,180,72,no,9.55,7.63,67.26,1.64,31.25,0.31,0.44,0.1,4.11,5.89,1.1,2,0.07,0,0,3.42,0.1,3,0.1,0.11,1,0.03,38,1.3,28.95,7.895,0.21,1.78,25,1.61,23.4,0.14,50,0.21,4.04,55.93,9.17,44.4,1.54,1.68,22.35,0.68,1.4,36.38,70.37,14.61,58.55,4.65,87.5,9.75,75.79,30.52,75.67,4.21,49.59,19.06,34.46,0.17,1.3,0.07,0,1.23,27.78,0.72,7.15,59.81,3.87,41.59,1.78,32.69,1.3,0.44,7.67,77.23,0,,0,,0,0,0,0,,,0.41,,,0.55,0.17,0,0.07,0,0
J. Gorenc-Stankovi?,Sturm Graz,Sturm Graz,DMF,27,4000000,2025-06-30,31,2857,2,3.6,0,0.53,25.58,55.17,Slovenia,Slovenia,right,190,78,no,11.5,7.34,59.23,10.4,61.52,0.38,0.55,0.16,6.77,9.86,1.89,8,0.25,0,0,1.01,0.06,2,0.06,0.11,2,0.06,39,1.23,30.77,5.128,0,0.41,46.15,0.06,50,0.32,40,0,0.69,59.09,2.8,47.19,1.39,0.19,17.51,0.25,1.26,35.91,73.68,18.24,63.56,3.75,92.44,9.14,86.21,29.61,80.21,5.89,42.78,19.8,34.01,0.02,0.38,0.06,0,0.09,33.33,0.09,10.11,58.88,1.26,32.5,0.82,11.54,0.32,0.19,8.79,69.89,0,,0,,0,0,0,0,,,0.47,,,0,0,0,0,0,0
P. Köhn,Monaco,Salzburg,GK,25,4000000,2025-06-30,32,3077,0,0,0,0,0.47,93.75,Germany,"Germany, Switzerland",right,190,80,no,1.87,0.06,100,0.32,100,0,0,0,1.81,3.07,0,4,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,50,0,0,11.82,0.18,0.06,19.51,88.91,11.55,82.28,0,0,7.49,98.44,12.23,98.8,7.28,72.29,32.35,47.74,0,0,0,0,0,0,0,1.35,52.17,0.06,0,0.06,0,0,0,5.26,78.89,21,0.61,94,2.75,16,77.66,26.1,0.76,5.1,0.149,0,1.32,0.32,,,,0,0,0
M. Ljubi?i?,LASK ,LASK ,CF,21,3500000,2027-06-30,28,1711,11,7.37,1,3.07,18.46,33.33,Croatia,Croatia,right,183,85,no,2.68,2.52,58.33,4.42,23.81,0,0,0.16,1.21,1.93,1.79,4,0.21,1,0.05,2.47,0.58,10,0.53,0.39,1,0.05,36,1.89,52.78,30.556,0.05,0.79,26.67,0.58,27.27,0.21,25,0.16,2.05,51.28,6.52,38.71,3.63,0.53,12.15,2.42,1.53,17.52,71.47,3.42,67.69,4.26,86.42,5.21,66.67,16.31,74.19,0.53,50,14.46,10.18,0.16,0.68,0,0,0.68,30.77,0.37,1.37,69.23,1.26,41.67,0.53,30,0.84,0.16,1.79,67.65,0,,0,,0,0,0,0,,,0,,,0,0,0,0,1,100
M. Grüll,Rapid Wien,Rapid Wien,"LAMF, LW, LWF",25,3500000,2024-06-30,30,2497,6,7.12,5,6.11,25.37,40.63,Austria,Austria,both,182,71,no,5.08,5.15,60.14,1.48,29.27,0.18,0.29,0.04,1.8,2.92,1.41,6,0.22,0,0,5.51,0.22,6,0.22,0.26,1,0.04,66,2.38,46.97,9.091,0.18,2.38,40.91,1.91,35.85,0.47,61.54,0.22,7.32,44.83,14.96,37.59,3.14,2.23,18.2,2.85,2.13,24.8,72.67,6.88,57.07,6.52,88.95,6.67,73.51,21.16,78.02,1.33,43.24,16.93,21.09,0.22,1.59,0.07,0.04,0.61,23.53,0.58,1.98,56.36,2.7,57.33,0.58,31.25,0.97,0.83,4.36,74.38,0,,0,,0,0,0,0,,,0.25,,,1.8,0.4,45.45,1.73,0,0
M. Braunöder,Austria Wien,Austria Wien,"RCMF, RDMF",21,3500000,2025-06-30,33,2524,2,2.99,3,3.9,18.19,55.29,Austria,Austria,right,172,67,no,9.06,6.95,67.18,2.64,41.89,0.39,0.6,0.14,3.99,6.06,1.28,7,0.25,0,0,2,0.07,2,0.07,0.11,0,0,36,1.28,16.67,5.556,0.11,1.21,35.29,0.18,20,1.03,37.93,0.14,1.89,60.38,6.06,52.94,1.11,0.75,23.61,0.36,1.93,38.37,78.62,13.76,65.54,6.45,93.92,11.59,85.54,33.16,83.76,4.03,48.67,17.87,29.01,0.14,1.25,0.11,0.07,0.57,37.5,0.61,6.31,66.67,2.64,50,1.07,53.33,1.03,0.46,6.42,67.78,0,,0,,0,0,0,0,,,0.75,,,0.64,0.04,0,1.03,0,0
G. Wüthrich,Sturm Graz,Sturm Graz,"LCB, RCB",28,3000000,2025-06-30,28,2367,1,1.21,1,0.76,15.29,66.67,Switzerland,"Switzerland, Ghana",right,192,88,no,10.65,5.89,78.06,4.11,64.81,0.27,0.38,0.53,5.78,8.35,0.95,1,0.04,0,0,0.57,0.04,1,0.04,0.05,0,0,11,0.42,27.27,9.091,0.04,0.27,14.29,0.04,0,0.23,16.67,0,0.53,64.29,2.09,54.55,0.99,0.91,16.39,0.04,0.99,31.22,80.88,15.29,69.65,1.67,90.91,12.02,93.67,25.67,89.19,5.36,43.26,23.37,37.71,0.03,0.11,0,0,0.08,100,0.08,5.32,63.57,0.87,17.39,0.68,16.67,0.19,0.04,6.88,71.82,0,,0,,0,0,0,0,,,1.1,,,0,0,0,0,0,0
D. Affengruber,Sturm Graz,Sturm Graz,RCB,22,3000000,2024-06-30,27,2088,4,3.33,1,0.17,13.41,64.31,Austria,Austria,right,185,79,no,9.44,4.61,67.29,5.26,68.85,0.26,0.37,0.69,6.08,8.58,0.78,7,0.3,1,0.04,0.3,0.17,4,0.17,0.14,2,0.09,13,0.56,46.15,30.769,0.04,0.09,0,0.04,0,0.04,0,0.04,0.13,33.33,0.65,60,1.03,0.22,17.67,0.43,0.78,34.09,79.77,17.28,71.07,1.68,87.18,12.76,91.55,27.5,88.4,6.55,44.08,22.43,36.44,0.01,0.13,0,0,0,0,0.04,4.66,48.15,0.39,0,0.47,27.27,0.17,0,7.41,62.21,0,,0,,0,0,0,0,,,1.16,,,0,0,0,0,0,0
I. van der Brempt,Hamburger SV,Salzburg,RB,21,3000000,2026-06-30,15,707,0,0.1,0,0.92,21.9,59.88,Belgium,Belgium,right,187,71,yes,11.97,8.66,63.24,4.46,65.71,0.13,0.23,0.25,6.36,11.36,1.65,0,0,0,0,3.18,0,0,0,0.01,0,0,2,0.25,50,0,0,2.42,42.11,0,0,2.42,42.11,0.51,3.18,60,5.98,55.32,0.89,2.29,21.13,2.04,1.53,35.26,73.29,15.91,60,5.73,91.11,9.55,82.67,28.64,80.89,4.33,41.18,19,28.3,0.12,0.64,0.13,0,0.25,50,0,5.86,52.17,3.56,46.43,1.53,25,1.27,0.89,8.78,68.12,0,,0,,0,0,0,0,,,0.25,,,0,0,0,0.64,0,0
W. Bøving,Sturm Graz,Sturm Graz,"CF, AMF",20,3000000,2026-06-30,17,727,1,2.12,1,2.22,19.56,40.51,Denmark,Denmark,right,176,67,no,4.58,3.59,68.97,3.96,12.5,0,0,0,2.1,3.07,0,0,0,0,0,4.83,0.12,1,0.12,0.26,0,0,19,2.35,36.84,5.263,0.12,2.48,20,0.62,40,1.86,13.33,0.12,6.07,55.1,9.78,43.04,3.47,1.86,13.37,1.49,0.99,21.17,74.85,5.08,70.73,5.69,93.48,5.94,64.58,18.32,83.11,0.5,25,13.95,8.86,0.27,2.23,0,0,0.12,100,1.24,1.49,75,2.48,35,0.12,100,1.24,0.5,2.23,66.67,0,,0,,0,0,0,0,,,0,,,0.62,0,0,1.11,0,0
A. Tibidi,Troyes,Rheindorf Altach,"AMF, CF, LWF",19,2500000,2027-06-30,16,1307,5,2.09,1,1.5,21,44.92,France,"France, Cameroon",right,187,80,no,3.24,3.1,55.56,1.72,44,0.07,0.1,0.07,1.45,2.2,0.76,4,0.28,0,0,4.89,0.34,5,0.34,0.14,1,0.07,25,1.72,48,20,0.07,0.62,22.22,0.34,40,0.28,0,0.14,4.68,70.59,13.5,44.9,2.82,2.34,20.45,1.31,2.48,27.34,86.65,5.1,77.03,8.47,92.68,8.19,86.55,25.89,88.56,0.96,64.29,16.25,18.64,0.1,1.24,0,0.07,0.76,81.82,0.55,3.37,79.59,0.83,41.67,0.55,87.5,0.55,0.14,2.41,77.14,0,,0,,0,0,0,0,,,0.07,,,0,0,0,0,0,0
